GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1278422101,20251209,202512,2025,2025.9288,FRA,FRANCE,FRA,,,,,,,,GOV,PRESIDENT,,,,,,GOV,,,0,010,010,01,1,0,3,1,3,-3.2051282051282,4,"Paris, France (general), France",FR,FR00,16282,48.8667,2.33333,-1456928,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20251209180000,https://www.digitaljournal.com/world/why-west-african-troops-overturned-benins-coup-but-watched-others-pass-by/article
1278367527,20251209,202512,2025,2025.9288,LEG,SENATE,,,,,,LEG,,,,,,,,,,,,,1,014,014,01,1,0,1,1,1,-0.87719298245614,1,Benin,BN,BN,,9.5,2.25,BN,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,20251209123000,https://saharareporters.com/2025/12/09/breaking-coup-crisis-tinubu-seeks-senate-approval-deploy-nigerian-troops-benin-republic
1278425040,20251209,202512,2025,2025.9288,FRA,FRANCE,FRA,,,,,,,,BENGOV,BENINESE,BEN,,,,,GOV,,,1,060,060,06,2,6,3,1,3,-3.18979266347688,4,"Paris, France (general), France",FR,FR00,16282,48.8667,2.33333,-1456928,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20251209181500,https://www.spacewar.com/afp/251209153242.xg2v490f.html
1278407164,20251209,202512,2025,2025.9288,,,,,,,,,,,GOVMIL,MILITARY GOVERNMENT,,,,,,GOV,MIL,,0,130,130,13,3,-4.4,8,1,8,-5.31914893617022,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20251209163000,https://dailypost.ng/2025/12/09/benin-coup-tinubus-intervention-backed-by-constitution-ex-lawmaker/
1278350231,20251209,202512,2025,2025.9288,FRAGOV,FRANCE,FRA,,,,,GOV,,,BEN,BENIN,BEN,,,,,,,,1,041,041,04,1,1,10,1,10,0,4,"Paris, France (general), France",FR,FR00,16282,48.8667,2.33333,-1456928,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20251209101500,https://haqqin.az/newsarchive/368505
1278367531,20251209,202512,2025,2025.9288,LEG,SENATE,,,,,,LEG,,,,,,,,,,,,,1,036,036,03,1,4,6,1,6,-0.87719298245614,1,Benin,BN,BN,,9.5,2.25,BN,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,20251209123000,https://saharareporters.com/2025/12/09/breaking-coup-crisis-tinubu-seeks-senate-approval-deploy-nigerian-troops-benin-republic
1278389127,20251209,202512,2025,2025.9288,,,,,,,,,,,GOV,GOVERNMENT,,,,,,GOV,,,1,036,036,03,1,4,10,1,10,-6.30630630630631,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20251209143000,https://www.cuartopoder.mx/nacional/reportan-varios-muertos-tras-golpe-de-estado-fallido/560060
1278416086,20251209,202512,2025,2025.9288,MED,TELEVISION,,,,,,MED,,,,,,,,,,,,,0,042,042,04,1,1.9,8,1,8,-3.07941653160454,1,Benin,BN,BN,,9.5,2.25,BN,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,20251209171500,https://punchng.com/france-helped-benin-in-thwarting-weekend-coup-attempt-official/
1278353290,20251209,202512,2025,2025.9288,,,,,,,,,,,IGOWAFBUSWAS,ECOWAS,WAF,WAS,,,,IGO,BUS,,0,100,100,10,3,-5,10,1,10,-6.6884176182708,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20251209110000,https://thechronicle.com.gh/editorial-ecowas-must-confront-the-surge-of-constitutional-coups-in-west-africa/
1278365412,20251209,202512,2025,2025.9288,LEG,SENATE PRESIDENT,,,,,,LEG,,,BEN,BENIN,BEN,,,,,,,,1,010,010,01,1,0,2,1,2,1.65289256198347,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20251209121500,https://punchng.com/coup-tinubu-seeks-senate-approval-for-troop-deployment-to-benin/
