MonthYear,ActionGeo_ADM1Code,Total_Events,Goldstein_Neg_Mean,AvgTone_Neg_Mean,QuadClass4_Count,MIL_COP_Count,Pct_QuadClass4,Goldstein_Neg_Norm,AvgTone_Neg_Norm,Pct_QuadClass4_Norm,ISRB,Target_ISRB_NextMonth,Dept_BN08,Dept_BN09,Dept_BN10,Dept_BN11,Dept_BN12,Dept_BN13,Dept_BN14,Dept_BN15,Dept_BN16,Dept_BN18
202603,BN10,10.0,-10.0,-3.0642492939168533,2.0,0.0,20.0,1.0,0.3064249293916853,0.2,0.5066062323479213,0.3461052401144061,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202504,BN11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33768193798337964,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
202505,BN11,9.0,-4.0,-2.573944186001853,3.0,3.0,33.33333333333333,0.4,0.2573944186001853,0.33333333333333326,0.33768193798337964,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
202506,BN11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
202507,BN11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
202508,BN11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009057971014492749,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
202509,BN11,11.0,0.0,-0.36231884057971,0.0,1.0,0.0,0.0,0.036231884057970995,0.0,0.009057971014492749,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
202510,BN11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
202511,BN11,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
202512,BN11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
202601,BN11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
202602,BN11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
202603,BN11,1.0,-2.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.06999999999999999,0.13999999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
202504,BN12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
202505,BN12,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
202506,BN12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06999999999999999,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
202507,BN12,13.0,-2.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.06999999999999999,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
202508,BN12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15258389261744973,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
202509,BN12,1.0,-4.0,-0.50335570469799,0.0,0.0,0.0,0.4,0.050335570469798994,0.0,0.15258389261744973,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
202510,BN12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13999999999999999,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
202511,BN12,16.0,-4.0,0.0,0.0,15.0,0.0,0.4,0.0,0.0,0.13999999999999999,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
202512,BN12,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007530120481927751,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
202601,BN12,3.0,0.0,-0.30120481927711,0.0,0.0,0.0,0.0,0.030120481927711003,0.0,0.007530120481927751,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
202602,BN12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
202603,BN12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
202504,BN13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5325067024128685,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
202505,BN13,2.0,-5.0,-6.30026809651474,1.0,0.0,50.0,0.5,0.6300268096514741,0.5,0.5325067024128685,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
202506,BN13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6071998502131581,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
202507,BN13,2.0,-10.0,-2.287994008526325,1.0,1.0,50.0,1.0,0.22879940085263248,0.5,0.6071998502131581,0.13252088776222876,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
